Robot Structural Analysis - Active Standard Sections (Filtered for France)
=====================================================================

### DATABASE: RCAT ###
Total sections: 2145

CAE 100x10           | Weight:  15.04 kg/m
CAE 100x12           | Weight:  17.83 kg/m
CAE 100x7            | Weight:  10.73 kg/m
CAE 100x8            | Weight:  12.18 kg/m
CAE 120x10           | Weight:  18.20 kg/m
CAE 120x12           | Weight:  21.62 kg/m
CAE 120x15           | Weight:  26.64 kg/m
CAE 120x8            | Weight:  14.71 kg/m
CAE 135x10           | Weight:  20.57 kg/m
CAE 150x10           | Weight:  22.98 kg/m
CAE 150x12           | Weight:  27.35 kg/m
CAE 150x14           | Weight:  31.65 kg/m
CAE 150x15           | Weight:  33.77 kg/m
CAE 150x18           | Weight:  40.06 kg/m
CAE 180x18           | Weight:  48.60 kg/m
CAE 180x20           | Weight:  53.65 kg/m
CAE 200x18           | Weight:  54.25 kg/m
CAE 200x20           | Weight:  59.93 kg/m
CAE 200x24           | Weight:  71.11 kg/m
CAE 20x3             | Weight:   0.88 kg/m
CAE 25x3             | Weight:   1.12 kg/m
CAE 30x3             | Weight:   1.36 kg/m
CAE 30x4             | Weight:   1.78 kg/m
CAE 35x3             | Weight:   1.60 kg/m
CAE 35x3.5           | Weight:   1.85 kg/m
CAE 35x4             | Weight:   2.09 kg/m
CAE 40x3             | Weight:   1.84 kg/m
CAE 40x4             | Weight:   2.42 kg/m
CAE 40x5             | Weight:   2.97 kg/m
CAE 45x3             | Weight:   2.09 kg/m
CAE 45x4             | Weight:   2.74 kg/m
CAE 45x4.5           | Weight:   3.06 kg/m
CAE 45x5             | Weight:   3.38 kg/m
CAE 50x3             | Weight:   2.33 kg/m
CAE 50x4             | Weight:   3.06 kg/m
CAE 50x5             | Weight:   3.77 kg/m
CAE 50x6             | Weight:   4.47 kg/m
CAE 50x7             | Weight:   5.15 kg/m
CAE 60x4             | Weight:   3.70 kg/m
CAE 60x5             | Weight:   4.57 kg/m
CAE 60x6             | Weight:   5.42 kg/m
CAE 60x8             | Weight:   7.09 kg/m
CAE 70x5             | Weight:   5.37 kg/m
CAE 70x6             | Weight:   6.38 kg/m
CAE 70x7             | Weight:   7.38 kg/m
CAE 80x5.5           | Weight:   6.75 kg/m
CAE 80x6.5           | Weight:   7.92 kg/m
CAE 80x8             | Weight:   9.63 kg/m
CAE 90x6             | Weight:   8.30 kg/m
CAE 90x7             | Weight:   9.61 kg/m
CAE 90x9             | Weight:  12.18 kg/m
CAEP 100x10          | Weight:  15.04 kg/m
CAEP 100x12          | Weight:  17.83 kg/m
CAEP 100x7           | Weight:  10.73 kg/m
CAEP 100x8           | Weight:  12.18 kg/m
